"","Item_Identifier","Item_Weight","Item_Fat_Content","Item_Visibility","Item_Type","Item_MRP","Outlet_Identifier","Outlet_Establishment_Year","Outlet_Size","Outlet_Location_Type","Outlet_Type","Item_Outlet_Sales","Profit","Profit_Margin"
"2099","FDI45",13.1,"Low_Fat",0.037657,"Fruits and Vegetables",175.8054,"OUT045","2002","Small","Tier 2","Supermarket Type1",2801.686,2625.8806,93.725
"2100","NCB18",19.6,"Low_Fat",0.041091,"Household",89.5514,"OUT027","1985","Medium","Tier 3","Supermarket Type3",3364.953,3275.4016,97.339
"2101","FDW51",6.155,"Regular",0.095195,"Meat",213.956,"OUT017","2007","Small","Tier 2","Supermarket Type1",2343.616,2129.66,90.871
"2102","NCK07",10.65,"Low_Fat",0.048687,"Others",164.1526,"OUT046","1997","Small","Tier 1","Supermarket Type1",1808.979,1644.8264,90.926
"2103","FDZ45",14.1,"Low_Fat",0.117091,"Snack Foods",197.9084,"OUT019","1985","Small","Tier 1","Grocery Store",992.042,794.1336,80.05
"2104","FDB37",20.25,"Regular",0.022941,"Baking Goods",241.8538,"OUT046","1997","Small","Tier 1","Supermarket Type1",5768.491,5526.6372,95.807
"2105","FDZ60",20.5,"Low_Fat",0.119339,"Baking Goods",106.0596,"OUT035","2004","Small","Tier 2","Supermarket Type1",970.7364,864.6768,89.074
"2106","FDN04",11.8,"Regular",0.014075,"Frozen Foods",176.8344,"OUT013","1987","High","Tier 3","Supermarket Type1",3568.688,3391.8536,95.045
"2107","FDW47",15,"Low_Fat",0.046337,"Breads",120.0414,"OUT013","1987","High","Tier 3","Supermarket Type1",3533.401,3413.3596,96.603
"2108","FDB17",13.15,"Low_Fat",0.036642,"Frozen Foods",180.7976,"OUT013","1987","High","Tier 3","Supermarket Type1",6157.318,5976.5204,97.064
"2109","FDR56",15.5,"Regular",0.101176,"Fruits and Vegetables",198.9768,"OUT018","2009","Medium","Tier 3","Supermarket Type2",4729.843,4530.8662,95.793
"2110","FDU55",16.2,"Low_Fat",0.035737,"Fruits and Vegetables",260.6278,"OUT027","1985","Medium","Tier 3","Supermarket Type3",9371.801,9111.1732,97.219
"2111","FDH40",11.6,"Regular",0.079376,"Frozen Foods",81.7276,"OUT017","2007","Small","Tier 2","Supermarket Type1",1949.462,1867.7344,95.808
"2112","FDH05",14.35,"Regular",0.091055,"Frozen Foods",231.8984,"OUT049","1999","Medium","Tier 1","Supermarket Type1",4633.968,4402.0696,94.996
"2113","FDX58",13.15,"Low_Fat",0.043852,"Snack Foods",182.695,"OUT045","2002","Small","Tier 2","Supermarket Type1",4211.185,4028.49,95.662
"2114","FDC51",10.895,"Regular",0.00962,"Dairy",121.673,"OUT035","2004","Small","Tier 2","Supermarket Type1",1970.768,1849.095,93.826
"2115","NCR05",10.1,"Low_Fat",0.05494,"Health and Hygiene",199.5084,"OUT017","2007","Small","Tier 2","Supermarket Type1",3372.943,3173.4346,94.085
"2116","DRH25",18.7,"Low_Fat",0.014676,"Soft Drinks",50.8324,"OUT017","2007","Small","Tier 2","Supermarket Type1",934.7832,883.9508,94.562
"2117","NCR53",12.15,"Low_Fat",0.145266,"Health and Hygiene",224.0404,"OUT049","1999","Medium","Tier 1","Supermarket Type1",3375.606,3151.5656,93.363
"2118","FDS04",10.195,"Regular",0.146663,"Frozen Foods",138.6838,"OUT046","1997","Small","Tier 1","Supermarket Type1",2388.225,2249.5412,94.193
"2119","FDC03",8.575,"Regular",0.071787,"Dairy",193.3794,"OUT013","1987","High","Tier 3","Supermarket Type1",780.3176,586.9382,75.218
"2120","FDP44",16.5,"Regular",0.133424,"Fruits and Vegetables",102.2332,"OUT010","1998","Small","Tier 3","Grocery Store",102.5332,0.299999999999997,0.293
"2121","FDK16",9.065,"Low_Fat",0.1158,"Frozen Foods",95.3094,"OUT018","2009","Medium","Tier 3","Supermarket Type2",1713.769,1618.4596,94.439
"2122","NCC30",16.6,"Low_Fat",0.027579,"Household",178.7344,"OUT046","1997","Small","Tier 1","Supermarket Type1",1605.91,1427.1756,88.87
"2123","FDZ26",11.6,"Regular",0.241056,"Dairy",238.5222,"OUT010","1998","Small","Tier 3","Grocery Store",717.0666,478.5444,66.736
"2124","NCO54",19.5,"Low_Fat",0.014332,"Household",57.1614,"OUT018","2009","Medium","Tier 3","Supermarket Type2",1381.535,1324.3736,95.862
"2125","NCP41",16.6,"Low_Fat",0.027133,"Health and Hygiene",106.2596,"OUT010","1998","Small","Tier 3","Grocery Store",215.7192,109.4596,50.742
"2126","DRE27",11.85,"Low_Fat",0.132877,"Dairy",98.0726,"OUT049","1999","Medium","Tier 1","Supermarket Type1",1076.599,978.5264,90.891
"2127","FDQ10",12.85,"Low_Fat",0.033152,"Snack Foods",170.6422,"OUT013","1987","High","Tier 3","Supermarket Type1",2931.517,2760.8748,94.179
"2128","NCU42",9,"Low_Fat",0.019537,"Household",170.0474,"OUT049","1999","Medium","Tier 1","Supermarket Type1",4211.185,4041.1376,95.962
"2129","FDX43",5.655,"Low_Fat",0.085259,"Fruits and Vegetables",165.85,"OUT035","2004","Small","Tier 2","Supermarket Type1",1830.95,1665.1,90.942
"2130","NCD19",8.93,"Low_Fat",0.013179,"Household",55.1614,"OUT046","1997","Small","Tier 1","Supermarket Type1",939.4438,884.2824,94.128
"2131","NCI54",15.2,"Low_Fat",0.033593,"Household",108.1912,"OUT035","2004","Small","Tier 2","Supermarket Type1",1856.25,1748.0588,94.172
"2132","FDS37",7.655,"Low_Fat",0.053469,"Canned",114.1492,"OUT010","1998","Small","Tier 3","Grocery Store",115.8492,1.7,1.467
"2133","FDO25",6.3,"Low_Fat",0.126832,"Canned",209.027,"OUT027","1985","Medium","Tier 3","Supermarket Type3",4613.994,4404.967,95.47
"2134","FDS57",15.5,"Low_Fat",0.103603,"Snack Foods",143.547,"OUT049","1999","Medium","Tier 1","Supermarket Type1",1431.47,1287.923,89.972
"2135","FDI52",18.7,"Low_Fat",0.104841,"Frozen Foods",122.1072,"OUT049","1999","Medium","Tier 1","Supermarket Type1",490.0288,367.9216,75.082
"2136","DRK12",9.5,"Low_Fat",0.042057,"Soft Drinks",31.89,"OUT018","2009","Medium","Tier 3","Supermarket Type2",366.19,334.3,91.291
"2137","FDG40",13.65,"Low_Fat",0.04005,"Frozen Foods",34.4558,"OUT017","2007","Small","Tier 2","Supermarket Type1",611.2044,576.7486,94.363
"2138","FDU49",19.5,"Regular",0.030757,"Canned",86.254,"OUT045","2002","Small","Tier 2","Supermarket Type1",2163.85,2077.596,96.014
"2139","FDR49",8.71,"Low_Fat",0.1302532,"Canned",46.5376,"OUT013","1987","High","Tier 3","Supermarket Type1",575.2512,528.7136,91.91
"2140","FDF40",20.25,"Regular",0.039416,"Dairy",247.8092,"OUT019","1985","Small","Tier 1","Grocery Store",498.0184,250.2092,50.241
"2141","DRE03",19.6,"Low_Fat",0.024364,"Dairy",46.3718,"OUT017","2007","Small","Tier 2","Supermarket Type1",661.8052,615.4334,92.993
"2142","FDR55",12.15,"Regular",0.131444,"Fruits and Vegetables",189.1872,"OUT027","1985","Medium","Tier 3","Supermarket Type3",5294.442,5105.2548,96.427
"2143","NCU05",11.8,"Low_Fat",0.058725,"Health and Hygiene",82.3618,"OUT035","2004","Small","Tier 2","Supermarket Type1",1208.427,1126.0652,93.184
"2144","FDR36",6.715,"Regular",0.122274,"Baking Goods",40.3454,"OUT017","2007","Small","Tier 2","Supermarket Type1",838.908,798.5626,95.191
"2145","NCM30",19.1,"Low_Fat",0.067239,"Household",39.6796,"OUT013","1987","High","Tier 3","Supermarket Type1",660.4736,620.794,93.992
"2146","FDH24",20.7,"Low_Fat",0.021464,"Baking Goods",156.6288,"OUT049","1999","Medium","Tier 1","Supermarket Type1",3928.22,3771.5912,96.013
"2147","DRO47",10.195,"Low_Fat",0.112682,"Hard Drinks",113.986,"OUT018","2009","Medium","Tier 3","Supermarket Type2",452.744,338.758,74.823
"2148","FDQ49",20.2,"Regular",0.03947,"Breakfast",155.163,"OUT017","2007","Small","Tier 2","Supermarket Type1",782.315,627.152,80.166
"2149","DRJ37",10.8,"Low_Fat",0.061101,"Soft Drinks",151.9024,"OUT046","1997","Small","Tier 1","Supermarket Type1",2580.641,2428.7386,94.114
"2150","NCJ42",19.75,"Low_Fat",0.01436,"Household",100.8332,"OUT018","2009","Medium","Tier 3","Supermarket Type2",1537.998,1437.1648,93.444
"2151","FDD05",19.35,"Low_Fat",0.016637,"Frozen Foods",120.9098,"OUT049","1999","Medium","Tier 1","Supermarket Type1",1687.137,1566.2272,92.833
"2152","FDC39",7.405,"Low_Fat",0.159844,"Dairy",206.6296,"OUT018","2009","Medium","Tier 3","Supermarket Type2",3115.944,2909.3144,93.369
"2153","NCY06",15.25,"Low_Fat",0.061309,"Household",128.8968,"OUT045","2002","Small","Tier 2","Supermarket Type1",2348.942,2220.0452,94.513
"2154","NCS06",7.935,"Low_Fat",0.055567,"Household",263.591,"OUT019","1985","Small","Tier 1","Grocery Store",262.991,-0.600000000000023,-0.228
"2155","FDE16",8.895,"Low_Fat",0.026397,"Frozen Foods",207.8954,"OUT045","2002","Small","Tier 2","Supermarket Type1",3542.722,3334.8266,94.132
"2156","NCQ50",18.75,"Low_Fat",0.034307,"Household",215.2218,"OUT046","1997","Small","Tier 1","Supermarket Type1",4701.88,4486.6582,95.423
"2157","FDX50",20.1,"Low_Fat",0.074627,"Dairy",110.3228,"OUT046","1997","Small","Tier 1","Supermarket Type1",1768.365,1658.0422,93.761
"2158","NCL41",12.35,"Low_Fat",0.041974,"Health and Hygiene",35.7216,"OUT017","2007","Small","Tier 2","Supermarket Type1",519.324,483.6024,93.122
"2159","FDM58",16.85,"Regular",0.080015,"Snack Foods",111.8544,"OUT018","2009","Medium","Tier 3","Supermarket Type2",1677.816,1565.9616,93.333
"2160","FDH35",18.25,"Low_Fat",0.100844,"Starchy Foods",166.3526,"OUT010","1998","Small","Tier 3","Grocery Store",164.4526,-1.90000000000001,-1.155
"2161","FDS50",17,"Low_Fat",0.05552,"Dairy",219.8114,"OUT049","1999","Medium","Tier 1","Supermarket Type1",1108.557,888.7456,80.171
"2162","FDT09",15.15,"Regular",0.012204,"Snack Foods",133.2284,"OUT027","1985","Medium","Tier 3","Supermarket Type3",4350.337,4217.1086,96.938
"2163","FDR60",14.3,"Low_Fat",0.130946,"Baking Goods",76.7328,"OUT018","2009","Medium","Tier 3","Supermarket Type2",1312.958,1236.2252,94.156
"2164","FDG22",17.6,"Regular",0.041381,"Snack Foods",35.019,"OUT046","1997","Small","Tier 1","Supermarket Type1",659.142,624.123,94.687
"2165","FDL52",6.635,"Regular",0.045867,"Frozen Foods",37.9506,"OUT027","1985","Medium","Tier 3","Supermarket Type3",910.8144,872.8638,95.833
"2166","DRJ39",20.25,"Low_Fat",0.036474,"Dairy",218.3482,"OUT018","2009","Medium","Tier 3","Supermarket Type2",2409.53,2191.1818,90.938
"2167","FDW45",18,"Low_Fat",0.039232,"Snack Foods",145.1418,"OUT017","2007","Small","Tier 2","Supermarket Type1",2648.552,2503.4102,94.52
"2168","NCQ38",16.35,"Low_Fat",0.013394,"Others",106.028,"OUT045","2002","Small","Tier 2","Supermarket Type1",1065.28,959.252,90.047
"2169","FDB26",14,"Regular",0.031444,"Canned",53.764,"OUT017","2007","Small","Tier 2","Supermarket Type1",798.96,745.196,93.271
"2170","DRG48",5.78,"Low_Fat",0.014555,"Soft Drinks",145.2102,"OUT046","1997","Small","Tier 1","Supermarket Type1",3062.014,2916.8038,95.258
"2171","FDH10",21,"Low_Fat",0.082526,"Snack Foods",191.8478,"OUT010","1998","Small","Tier 3","Grocery Store",774.9912,583.1434,75.245
"2172","FDP28",13.65,"Regular",0.080766,"Frozen Foods",262.8936,"OUT049","1999","Medium","Tier 1","Supermarket Type1",4958.878,4695.9844,94.699
"2173","FDJ44",12.3,"Regular",0.17797,"Fruits and Vegetables",173.1396,"OUT010","1998","Small","Tier 3","Grocery Store",697.7584,524.6188,75.186
"2174","FDI07",12.35,"Regular",0.033829,"Meat",196.9426,"OUT045","2002","Small","Tier 2","Supermarket Type1",2768.396,2571.4534,92.886
"2175","DRJ24",11.8,"Low_Fat",0.11397,"Soft Drinks",185.1924,"OUT017","2007","Small","Tier 2","Supermarket Type1",2591.294,2406.1016,92.853
"2176","DRL47",19.7,"Low_Fat",0.038729,"Hard Drinks",127.3362,"OUT035","2004","Small","Tier 2","Supermarket Type1",755.0172,627.681,83.135
"2177","FDP38",10.1,"Low_Fat",0.032075,"Canned",50.9008,"OUT013","1987","High","Tier 3","Supermarket Type1",354.2056,303.3048,85.63
"2178","FDK02",12.5,"Low_Fat",0.196491,"Canned",120.544,"OUT019","1985","Small","Tier 1","Grocery Store",479.376,358.832,74.854
"2179","FDO23",17.85,"Low_Fat",0.146305,"Breads",94.1436,"OUT013","1987","High","Tier 3","Supermarket Type1",1607.241,1513.0974,94.143
"2180","NCE54",20.7,"Low_Fat",0.026877,"Household",74.6354,"OUT013","1987","High","Tier 3","Supermarket Type1",1053.296,978.6606,92.914
"2181","FDS52",8.89,"Low_Fat",0.005475,"Frozen Foods",99.7016,"OUT046","1997","Small","Tier 1","Supermarket Type1",1922.83,1823.1284,94.815
"2182","FDW01",14.5,"Low_Fat",0.064048,"Canned",153.4682,"OUT035","2004","Small","Tier 2","Supermarket Type1",1677.15,1523.6818,90.849
"2183","NCF07",9,"Low_Fat",0.032204,"Household",100.8016,"OUT017","2007","Small","Tier 2","Supermarket Type1",1113.218,1012.4164,90.945
"2184","DRE15",13.35,"Low_Fat",0.017858,"Dairy",77.5012,"OUT018","2009","Medium","Tier 3","Supermarket Type2",1518.024,1440.5228,94.895
"2185","FDR58",6.675,"Low_Fat",0.041921,"Snack Foods",92.3462,"OUT046","1997","Small","Tier 1","Supermarket Type1",2406.201,2313.8548,96.162
"2186","FDL24",10.3,"Regular",0.024876,"Baking Goods",173.0422,"OUT013","1987","High","Tier 3","Supermarket Type1",2069.306,1896.2638,91.638
"2187","FDQ25",8.63,"Regular",0.02814,"Canned",173.7422,"OUT027","1985","Medium","Tier 3","Supermarket Type3",3621.286,3447.5438,95.202
"2188","FDX56",17.1,"Regular",0.073998,"Fruits and Vegetables",207.0638,"OUT013","1987","High","Tier 3","Supermarket Type1",4969.531,4762.4672,95.833
"2189","FDD20",14.15,"Low_Fat",0.020799,"Fruits and Vegetables",123.6046,"OUT018","2009","Medium","Tier 3","Supermarket Type2",1245.046,1121.4414,90.072
"2190","DRF60",10.8,"Low_Fat",0.052363,"Soft Drinks",236.5564,"OUT017","2007","Small","Tier 2","Supermarket Type1",5243.841,5007.2846,95.489
"2191","FDW13",8.5,"Low_Fat",0.098283,"Canned",51.3324,"OUT018","2009","Medium","Tier 3","Supermarket Type2",934.7832,883.4508,94.509
"2192","FDF09",6.215,"Low_Fat",0.012139,"Fruits and Vegetables",39.2848,"OUT013","1987","High","Tier 3","Supermarket Type1",521.9872,482.7024,92.474
"2193","FDY45",17.5,"Low_Fat",0.0218221666666667,"Snack Foods",253.0356,"OUT035","2004","Small","Tier 2","Supermarket Type1",4578.041,4325.0054,94.473
"2194","FDR26",20.7,"Low_Fat",0.042924,"Dairy",178.3028,"OUT045","2002","Small","Tier 2","Supermarket Type1",1062.617,884.3142,83.22
"2195","FDZ01",8.975,"Regular",0.009059,"Canned",103.399,"OUT046","1997","Small","Tier 1","Supermarket Type1",2579.975,2476.576,95.992
"2196","FDH53",20.5,"Regular",0.032136,"Frozen Foods",83.9592,"OUT010","1998","Small","Tier 3","Grocery Store",165.1184,81.1592,49.152
"2197","FDG52",13.65,"Low_Fat",0.065898,"Frozen Foods",46.1402,"OUT018","2009","Medium","Tier 3","Supermarket Type2",459.402,413.2618,89.956
"2198","FDW50",13.1,"Low_Fat",0.075731,"Dairy",167.5158,"OUT045","2002","Small","Tier 2","Supermarket Type1",1504.042,1336.5262,88.862
"2199","FDX49",4.615,"Regular",0.101813,"Canned",232.23,"OUT035","2004","Small","Tier 2","Supermarket Type1",5126.66,4894.43,95.47
"2200","FDJ44",12.3,"Regular",0.106327,"Fruits and Vegetables",172.8396,"OUT046","1997","Small","Tier 1","Supermarket Type1",2616.594,2443.7544,93.394
"2201","NCI31",20,"Low_Fat",0.080933,"Others",37.519,"OUT027","1985","Medium","Tier 3","Supermarket Type3",842.237,804.718,95.545
"2202","FDZ52",19.2,"Low_Fat",0.100056,"Frozen Foods",112.4886,"OUT035","2004","Small","Tier 2","Supermarket Type1",1223.075,1110.5864,90.803
"2203","FDE17",20.1,"Regular",0.05454,"Frozen Foods",152.1366,"OUT049","1999","Medium","Tier 1","Supermarket Type1",755.683,603.5464,79.868
"2204","FDG34",11.5,"Regular",0.037723,"Snack Foods",109.5254,"OUT018","2009","Medium","Tier 3","Supermarket Type2",1953.457,1843.9316,94.393
"2205","FDE26",9.3,"Low_Fat",0.148977,"Canned",143.0786,"OUT010","1998","Small","Tier 3","Grocery Store",288.9572,145.8786,50.485
"2206","FDD56",15.2,"Regular",0.104201,"Fruits and Vegetables",176.5054,"OUT018","2009","Medium","Tier 3","Supermarket Type2",2976.792,2800.2866,94.071
"2207","FDR52",12.65,"Regular",0.076199,"Frozen Foods",191.3846,"OUT045","2002","Small","Tier 2","Supermarket Type1",2675.184,2483.7994,92.846
"2208","FDQ13",11.1,"Low_Fat",0.01064,"Canned",84.1908,"OUT035","2004","Small","Tier 2","Supermarket Type1",755.0172,670.8264,88.849
"2209","NCJ42",19.75,"Low_Fat",0.02504,"Household",102.7332,"OUT019","1985","Small","Tier 1","Grocery Store",410.1328,307.3996,74.951
"2210","FDH10",21,"Low_Fat",0.086327,"Snack Foods",192.6478,"OUT019","1985","Small","Tier 1","Grocery Store",387.4956,194.8478,50.284
"2211","NCG42",19.2,"Low_Fat",0.04122,"Household",131.231,"OUT035","2004","Small","Tier 2","Supermarket Type1",3635.268,3504.037,96.39
"2212","FDT31",19.75,"Low_Fat",0.012474,"Fruits and Vegetables",187.5872,"OUT045","2002","Small","Tier 2","Supermarket Type1",1323.61,1136.0228,85.828
"2213","DRD25",6.135,"Low_Fat",0.079132,"Soft Drinks",112.686,"OUT045","2002","Small","Tier 2","Supermarket Type1",2942.836,2830.15,96.171
"2214","FDR35",12.5,"Low_Fat",0.020694,"Breads",199.1742,"OUT035","2004","Small","Tier 2","Supermarket Type1",4379.632,4180.4578,95.452
"2215","FDL33",7.235,"Low_Fat",0.100165,"Snack Foods",193.9452,"OUT045","2002","Small","Tier 2","Supermarket Type1",2936.178,2742.2328,93.395
"2216","FDT45",15.85,"Low_Fat",0.057303,"Snack Foods",53.3956,"OUT035","2004","Small","Tier 2","Supermarket Type1",600.5516,547.156,91.109
"2217","FDT16",9.895,"Regular",0.048761,"Frozen Foods",260.5278,"OUT045","2002","Small","Tier 2","Supermarket Type1",8851.145,8590.6172,97.057
"2218","DRE49",20.75,"Low_Fat",0.0181481111111111,"Soft Drinks",153.0024,"OUT035","2004","Small","Tier 2","Supermarket Type1",2428.838,2275.8356,93.701
"2219","DRF60",10.8,"Low_Fat",0.05215,"Soft Drinks",239.9564,"OUT049","1999","Medium","Tier 1","Supermarket Type1",3813.702,3573.7456,93.708
"2220","NCB54",8.76,"Low_Fat",0.050131,"Health and Hygiene",128.3336,"OUT049","1999","Medium","Tier 1","Supermarket Type1",2556.672,2428.3384,94.98
"2221","FDH20",16.1,"Regular",0.024988,"Fruits and Vegetables",97.341,"OUT049","1999","Medium","Tier 1","Supermarket Type1",1255.033,1157.692,92.244
"2222","FDA31",7.1,"Low_Fat",0.109991,"Fruits and Vegetables",172.908,"OUT035","2004","Small","Tier 2","Supermarket Type1",2769.728,2596.82,93.757
"2223","FDE33",19.35,"Regular",0.049736,"Fruits and Vegetables",76.8644,"OUT045","2002","Small","Tier 2","Supermarket Type1",1571.288,1494.4236,95.108
"2224","FDM12",16.7,"Regular",0.117027,"Baking Goods",189.2214,"OUT010","1998","Small","Tier 3","Grocery Store",188.4214,-0.799999999999983,-0.425
"2225","FDW44",9.5,"Regular",0.035122,"Fruits and Vegetables",168.6448,"OUT013","1987","High","Tier 3","Supermarket Type1",1022.669,854.0242,83.509
"2226","DRE48",8.43,"Low_Fat",0.017311,"Soft Drinks",197.8768,"OUT013","1987","High","Tier 3","Supermarket Type1",3744.459,3546.5822,94.715
"2227","NCX18",14.15,"Low_Fat",0.008812,"Household",196.511,"OUT045","2002","Small","Tier 2","Supermarket Type1",2749.754,2553.243,92.854
"2228","FDA38",5.44,"Low_Fat",0.025584,"Dairy",239.1538,"OUT018","2009","Medium","Tier 3","Supermarket Type2",480.7076,241.5538,50.25
"2229","FDQ19",7.35,"Regular",0.014353,"Fruits and Vegetables",242.6512,"OUT013","1987","High","Tier 3","Supermarket Type1",969.4048,726.7536,74.969
"2230","FDY47",8.6,"Regular",0.054221,"Breads",129.131,"OUT027","1985","Medium","Tier 3","Supermarket Type3",4933.578,4804.447,97.383
"2231","FDE17",20.1,"Regular",0.05441,"Frozen Foods",151.3366,"OUT013","1987","High","Tier 3","Supermarket Type1",2720.459,2569.1224,94.437
"2232","FDY25",12,"Low_Fat",0.033974,"Canned",181.8976,"OUT046","1997","Small","Tier 1","Supermarket Type1",4527.44,4345.5424,95.982
"2233","FDT03",21.25,"Low_Fat",0.009997,"Meat",185.5608,"OUT035","2004","Small","Tier 2","Supermarket Type1",3123.934,2938.3732,94.06
"2234","FDB49",8.3,"Regular",0.030212,"Baking Goods",98.0384,"OUT045","2002","Small","Tier 2","Supermarket Type1",2857.614,2759.5756,96.569
"2235","FDL43",10.1,"Low_Fat",0.027217,"Meat",76.067,"OUT017","2007","Small","Tier 2","Supermarket Type1",1454.773,1378.706,94.771
"2236","FDE47",14.15,"Low_Fat",0.038123,"Starchy Foods",123.5046,"OUT017","2007","Small","Tier 2","Supermarket Type1",1992.074,1868.5694,93.8
"2237","FDS49",9,"Low_Fat",0.079506,"Canned",78.3644,"OUT045","2002","Small","Tier 2","Supermarket Type1",1728.417,1650.0526,95.466
"2238","FDU23",12.15,"Low_Fat",0.021812,"Breads",163.6184,"OUT018","2009","Medium","Tier 3","Supermarket Type2",2311.658,2148.0396,92.922
"2239","FDU38",10.8,"Low_Fat",0.08215,"Dairy",192.9504,"OUT027","1985","Medium","Tier 3","Supermarket Type3",7478.266,7285.3156,97.42
"2240","FDV09",12.1,"Low_Fat",0.036013,"Snack Foods",148.0734,"OUT019","1985","Small","Tier 1","Grocery Store",593.8936,445.8202,75.067
"2241","FDR20",20,"Regular",0.028167,"Fruits and Vegetables",45.5744,"OUT049","1999","Medium","Tier 1","Supermarket Type1",452.744,407.1696,89.934
"2242","FDY11",6.71,"Regular",0.02956,"Baking Goods",65.8142,"OUT046","1997","Small","Tier 1","Supermarket Type1",856.8846,791.0704,92.319
"2243","FDG40",13.65,"Low_Fat",0.039631,"Frozen Foods",31.9558,"OUT027","1985","Medium","Tier 3","Supermarket Type3",984.7182,952.7624,96.755
"2244","FDX20",7.365,"Low_Fat",0.042801,"Fruits and Vegetables",228.372,"OUT017","2007","Small","Tier 2","Supermarket Type1",2037.348,1808.976,88.791
"2245","FDZ27",7.935,"Low_Fat",0.017142,"Dairy",50.035,"OUT013","1987","High","Tier 3","Supermarket Type1",149.805,99.77,66.6
"2246","FDH09",12.6,"Low_Fat",0.056395,"Seafood",51.3982,"OUT017","2007","Small","Tier 2","Supermarket Type1",473.3838,421.9856,89.142
"2247","FDG29",17.6,"Low_Fat",0.056379,"Frozen Foods",42.7454,"OUT049","1999","Medium","Tier 1","Supermarket Type1",293.6178,250.8724,85.442
"2248","NCA30",19,"Low_Fat",0.129535,"Household",190.1872,"OUT049","1999","Medium","Tier 1","Supermarket Type1",5105.354,4915.1668,96.275
"2249","NCL53",7.5,"Low_Fat",0.03644,"Health and Hygiene",175.3028,"OUT017","2007","Small","Tier 2","Supermarket Type1",3010.748,2835.4452,94.177
"2250","DRE15",13.35,"Low_Fat",0.0164340555555556,"Dairy",77.6012,"OUT046","1997","Small","Tier 1","Supermarket Type1",986.7156,909.1144,92.135
"2251","NCS38",8.6,"Low_Fat",0.090191,"Household",112.9176,"OUT046","1997","Small","Tier 1","Supermarket Type1",458.0704,345.1528,75.349
"2252","FDY21",15.1,"Low_Fat",0.303743,"Snack Foods",196.011,"OUT019","1985","Small","Tier 1","Grocery Store",589.233,393.222,66.735
"2253","FDB58",10.5,"Regular",0.02259,"Snack Foods",140.6154,"OUT010","1998","Small","Tier 3","Grocery Store",283.6308,143.0154,50.423
"2254","FDH41",9,"Low_Fat",0.082012,"Frozen Foods",213.3534,"OUT046","1997","Small","Tier 1","Supermarket Type1",1935.481,1722.1276,88.977
"2255","DRF23",4.61,"Low_Fat",0.122843,"Hard Drinks",172.4396,"OUT049","1999","Medium","Tier 1","Supermarket Type1",1569.956,1397.5164,89.016
"2256","FDE05",10.895,"Regular",0.054321,"Frozen Foods",146.2102,"OUT010","1998","Small","Tier 3","Grocery Store",437.4306,291.2204,66.575
"2257","FDY10",17.6,"Low_Fat",0.049144,"Snack Foods",112.7176,"OUT049","1999","Medium","Tier 1","Supermarket Type1",1717.764,1605.0464,93.438
"2258","FDS43",11.65,"Low_Fat",0.040578,"Fruits and Vegetables",188.224,"OUT049","1999","Medium","Tier 1","Supermarket Type1",1304.968,1116.744,85.576
"2259","NCM30",19.1,"Low_Fat",0.0674,"Household",41.9796,"OUT049","1999","Medium","Tier 1","Supermarket Type1",784.3124,742.3328,94.648
"2260","FDY49",17.2,"Regular",0.012036,"Canned",165.7184,"OUT045","2002","Small","Tier 2","Supermarket Type1",1816.302,1650.5836,90.876
"2261","FDN02",16.5,"Low_Fat",0.073977,"Canned",206.8638,"OUT045","2002","Small","Tier 2","Supermarket Type1",2070.638,1863.7742,90.01
"2262","FDP37",15.6,"Low_Fat",0.143396,"Breakfast",128.0994,"OUT045","2002","Small","Tier 2","Supermarket Type1",2184.49,2056.3906,94.136
"2263","NCF07",9,"Low_Fat",0.032016,"Household",99.6016,"OUT035","2004","Small","Tier 2","Supermarket Type1",1922.83,1823.2284,94.82
"2264","FDJ09",15,"Low_Fat",0.058346,"Snack Foods",44.0744,"OUT013","1987","High","Tier 3","Supermarket Type1",633.8416,589.7672,93.046
"2265","FDO23",17.85,"Low_Fat",0.145718,"Breads",94.3436,"OUT027","1985","Medium","Tier 3","Supermarket Type3",2269.046,2174.7024,95.842
"2266","FDH09",12.6,"Low_Fat",0.055806,"Seafood",52.4982,"OUT027","1985","Medium","Tier 3","Supermarket Type3",1209.759,1157.2608,95.66
"2267","FDX34",6.195,"Low_Fat",0.072097,"Snack Foods",119.3098,"OUT049","1999","Medium","Tier 1","Supermarket Type1",1205.098,1085.7882,90.1
"2268","FDV60",20.2,"Regular",0.117544,"Baking Goods",197.311,"OUT049","1999","Medium","Tier 1","Supermarket Type1",3338.987,3141.676,94.091
"2269","FDE32",20.7,"Low_Fat",0.048718,"Fruits and Vegetables",38.7506,"OUT013","1987","High","Tier 3","Supermarket Type1",227.7036,188.953,82.982
"2270","NCI30",20.25,"Low_Fat",0.059176,"Household",245.046,"OUT018","2009","Medium","Tier 3","Supermarket Type2",4680.574,4435.528,94.765
"2271","FDS37",7.655,"Low_Fat",0.031918,"Canned",117.7492,"OUT013","1987","High","Tier 3","Supermarket Type1",695.0952,577.346,83.06
"2272","FDC57",20.1,"Regular",0.095588,"Fruits and Vegetables",193.982,"OUT019","1985","Small","Tier 1","Grocery Store",579.246,385.264,66.511
"2273","DRC01",5.92,"Regular",0.019309,"Soft Drinks",49.0692,"OUT017","2007","Small","Tier 2","Supermarket Type1",1478.076,1429.0068,96.68
